Sale ID,Date,Product,Quantity,Price,Total,Customer ID,Customer Name,Payment Method,Region
1,2024-07-14,Keyboard,3,321.83,965.49,b0a62292-82e1-478f-a05a-f9458524b9b5,Daniel Allen,Bank Transfer,Oceania
2,2024-01-11,Printer,6,280.78,1684.68,0d537ac6-ad72-4ec5-aee9-4ad30d3011ac,William Jackson,Debit Card,Europe
3,2024-03-01,Monitor,7,266.25,1863.75,8d495b83-6a59-4259-b87c-b4eff6245754,Tyler White,Debit Card,Europe
4,2024-07-07,Keyboard,2,465.57,931.14,e7c48db1-cdf7-4427-ad1e-b988e4c68d68,Christopher Peterson,Bank Transfer,South America
5,2024-04-22,Printer,6,295.4,1772.4,8f72efdf-ea40-47c2-af5a-6ced42baa53f,Isaac Perry,PayPal,North America
6,2024-04-17,Mouse,8,427.41,3419.28,8cc5a529-072a-40fe-966e-ad01e7cc2282,George Bishop,Credit Card,South America
7,2024-08-14,Monitor,3,167.51,502.53,823020ea-4a03-463e-895a-881faf472095,Lisa Evans,Debit Card,Oceania
8,2024-08-02,Mouse,1,266.76,266.76,479a0c73-c3f6-47b0-ad14-f1cf0e2304be,Michelle Chapman,Bank Transfer,Oceania
9,2024-07-15,Headphones,2,39.86,79.72,292167c4-4346-432e-ba86-d22ba354a2f4,Cynthia Velazquez,Credit Card,North America
10,2024-02-18,Monitor,7,326.25,2283.75,6ed6f282-f464-44a6-9b05-aad0a22e7dd7,Devin Johnson,Credit Card,Oceania
11,2024-06-28,Headphones,5,46.65,233.25,2cf3188d-91d0-4fdd-9d0b-eeefd6237e76,Megan Griffin,Bank Transfer,South America
12,2024-02-23,Mouse,1,117.8,117.8,b49d8740-e025-429d-befa-812552240f90,Arthur Orozco,Bank Transfer,Oceania
13,2024-02-09,Smartphone,10,103.52,1035.2,4e87338a-1b37-4e42-85c3-5007efb827ad,Scott Adams,Cash,Africa
14,2024-07-02,Mouse,3,87.92,263.76,6031f3d4-9380-4b12-91ca-45a5ee736dd4,Sarah Carter,Debit Card,South America
15,2024-06-14,Webcam,3,47.83,143.49,6ddf441e-17de-4d99-a362-244ddce3bd2a,Regina Perez,Cash,Oceania
