Order_ID,Customer_Name,Customer_Email,Product,Quantity,Price_Per_Unit,Total_Price,Purchase_Date,Payment_Method,Country
8555e8f8-ba4d-40b3-b22c-c228ea8159b5,Robert Brown,michael59@example.org,Tablet,7,62.84,439.88,2024-03-04,VISA 16 digit,Canada
ce69ab3d-0aa9-471d-9bd9-c337f0789f6d,Emily Davis,umoody@example.net,Laptop,10,213.3,2133.0,2024-05-27,VISA 19 digit,Japan
15932ff4-f8a5-4c4b-931d-31fe5e4ef1f7,Jane Doe,matthew66@example.com,Laptop,10,644.58,6445.8,2024-03-27,Diners Club / Carte Blanche,Japan
beb87284-3cac-4175-b5cc-96fc252b300e,Daniel Walker,dylanburke@example.com,Mouse,9,125.94,1133.46,2024-09-03,Discover,Germany
a5b657bd-6ca8-423a-81bf-467a55a89ced,Jane Doe,donna78@example.net,Keyboard,7,604.64,4232.48,2024-07-26,JCB 16 digit,USA
09d57103-f8e3-44c1-a890-4c0a77a44059,Jessica Lewis,xprice@example.org,Mouse,10,249.06,2490.6,2024-01-18,JCB 16 digit,Germany
efe4478c-ff30-472c-a0da-f618f2bc1b48,Alice Johnson,william79@example.net,Smartphone,9,153.66,1382.94,2024-06-08,Discover,Canada
c8534668-dffe-4bdb-92f4-3ba5ca611d25,Daniel Walker,jcabrera@example.net,Tablet,3,381.45,1144.35,2024-01-25,VISA 16 digit,Canada
a2b26439-bc24-45be-a92f-95c850d7688c,Jane Doe,michaelramos@example.net,Tablet,5,397.87,1989.35,2024-05-29,VISA 13 digit,Australia
3db25c59-2e60-4d9b-bd43-18d4bd39a332,Sarah Miller,robert43@example.com,Monitor,10,933.91,9339.1,2024-01-05,Diners Club / Carte Blanche,Japan
4d920e35-7f78-4df0-8d9c-c174d7fa4fae,James Clark,olsondiane@example.org,Laptop,2,553.32,1106.64,2024-06-13,VISA 19 digit,France
cf1c4b14-fc32-40f5-a2aa-9e58933c319e,John Smith,kbrown@example.org,Monitor,5,759.25,3796.25,2024-05-22,Maestro,Canada
76532db8-a903-44bb-8741-6c62f262e262,John Smith,haaskenneth@example.com,Mouse,1,611.41,611.41,2024-04-13,JCB 16 digit,USA
fdaa7202-2e14-48b4-88af-4d5bdb6a5fbc,John Smith,ipearson@example.org,Laptop,10,769.1,7691.0,2024-06-03,American Express,France
1768d559-9e6f-4616-b444-0f9e20073d9b,John Smith,amanda68@example.com,Keyboard,10,130.37,1303.7,2024-07-29,VISA 13 digit,Canada
